orthography,lx_entries,sn_max,ps_1,gl_1,de_1_50
atnhe,atnhe,3,n.,NA,"emu down, emu belly feathers"
atnhelenge,atnhelenge,NA,n.,NA,two
atnhelengkwe,atnhelengkwe,NA,n.,NA,emu
atnhenke,"atnhenke |1, atnhenke |2",5,vt.,NA,"bite, grab with teeth"
atnherre,Atnherre,NA,n.,NA,Wagon Gap
atnhwenge,atnhwenge,NA,n.,something heard,"rumour, gossip; something you heard from someone e..."
atnhwerte,atnhwerte,NA,pv.,NA,Goes before some verbs to show that the action is ...
atnik-atnikarrenke,atnik-atnikarrenke,NA,vi.,NA,"get cracked (of hoof, foot or paw)"
atnike,atnike,NA,n.,heel,skin on the heel of your foot
atnilenke,atnilenke,NA,vt.,NA,remove the guts from an animal in preparation for ...
atninterrilerretye,Atninterrilerretye,NA,n.,NA,place name
atnipenke,atnipenke,NA,vt.,NA,squeeze out the pellets of the lower colon of an a...
atnitakwele atnteyane,atnitakwele atnteyane,NA,vi.,NA,bend over
atnke,atnke,2,n.,alive,alive
atnkeleye,atnkeleye,3,kin.,NA,"male cross-cousin, mother's brother's son, father'..."
atnker-atnkere,"atnker-atnkere |1, atnker-atnkere |2",NA,n.,NA,flying-saucer bush
atnkeratheke,atnkeratheke,2,n.,NA,someone whose child has passed away
atnkere,"atnkere |1, atnkere |2",4,n.,NA,"spinifex gum, resin"
atnkerr-atnkerre,atnkerr-atnkerre,NA,n.,NA,"place with lots of coolibah trees, swampy country"
atnkerre,atnkerre,NA,n.,NA,coolibah tree
atnkwarengarrenke,atnkwarengarrenke,NA,vi.,NA,"become dark, become night"
atnkwarenge,atnkwarenge,NA,n.,night,"night, dusk"
atnkwathenke,atnkwathenke,NA,vt.,NA,put someone to sleep
atnkwatnthenke,atnkwatnthenke,2,vi.,NA,"tired, falling asleep, sleepy"
atnkwe,"atnkwe |1, atnkwe |2",NA,n.,NA,"asleep, sleep, sleeping"
atnkwenpe,atnkwenpe,NA,n.,NA,"half asleep, half awake"
atnkwepenhe,atnkwepenhe,NA,n.,NA,after sleeping
atnkwerrentye,atnkwerrentye,NA,n.,NA,"middle of the night, midnight"
atnkwertene,atnkwertene,2,n.,NA,"all night, the whole night"
atnkwewanenyarrenke,atnkwewanenyarrenke,NA,vi.,NA,"have a sleepless night, be unable to sleep"
atnm-atnme,atnm-atnme,NA,n.,NA,purple
atnmapenye,atnmapenye,2,n.,NA,purple
atnmarnmerelhaylenke,atnmarnmerelhaylenke,NA,vt.,NA,cause plants to produce lots of fruit; make plants...
atnmarranenke,Atnmarranenke,NA,n.,NA,soakage near <em>Ankweleyelengkwe</em> and Eight-M...
atnme,atnme,3,n.,NA,red ochre
atnmentepenhe,atnmentepenhe,NA,n.,NA,person with whom you are in a special relationship...
atnmerrnge,"Atnmerrnge, atnmerrnge",NA,n.,NA,Sugarbag Bore
atnmetherre,Atnmetherre,NA,n.,NA,soakage on Taylor Creek south of <em>Rlweteye</em>...
atnngatherre,atnngatherre,3,n.,NA,in front of someone; face-to-face
atnngaympelhe,atnngaympelhe,2,n.,NA,"eyelash, eyebrow"
atnngayte,atnngayte,NA,n.,NA,eyebrow
atnngwangkenke,atnngwangkenke,2,vi.,NA,caw (of crows)
atnngwanngkey-angkenke,atnngwanngkey-angkenke,NA,vi.,NA,"ask for something all the time, humbug someone for..."
atnngwapewene,atnngwapewene,NA,n.,NA,someone who moves around a lot and can't stay in o...
atnpenke,atnpenke,2,vt.,NA,"touch, feel"
atnperrarrenke,atnperrarrenke,NA,vi.,NA,"collapse, cave in"
atnperre,atnperre,4,n.,solid,"solid, heavy"
atnperrinenke,atnperrinenke,2,vt.,fill in,"cover something up, fill something in"
atntamparrtyenke,atntamparrtyenke,NA,vt.,shine,"shine, glow, give off light"
atntathenke,atntathenke,2,vt.,NA,lay someone down to sleep
atnter-atnter-enyerrane,atnter-atnter-enyerrane,2,vi.,NA,standing all along in different places
atnter-aytenke,atnter-aytenke,NA,vi.,NA,"rest, stop and wait a while before setting off aga..."
atnteyerre,atnteyerre,NA,n.dir.,NA,south
atnthakenke,atnthakenke,3,vt.,NA,"concern yourself with someone's else's issues, get..."
atnthayle,atnthayle,NA,n.,long beard,long beard
atnthelhaylenke,atnthelhaylenke,NA,vt.,NA,"make someone or something go up, climb up or get u..."
atnthenke,atnthenke,2,vi.,fall,"fall, stumble"
atntheyaytelewenke,atntheyaytelewenke,NA,vt.,NA,"make someone or something go up or climb up, get s..."
atntheyaytenke,atntheyaytenke,4,vi.,climb,"climb, mount"
atntyenke,"atntyenke |1, atntyenke |2",2,vt.,NA,"make you cold, cool you down"
atnwanthele,atnwanthele,NA,n.,NA,pubic hair
atnwarrparrenke,atnwarrparrenke,2,vt.,NA,"enter your body, go into someone's body (of someth..."
atnwel-atnwele,atnwel-atnwele,NA,n.,NA,large intestine of emu
atnwelarre,atnwelarre,2,n.,NA,pencil yam (narrow leaf variety)
atnwengke,atnwengke,NA,n.,NA,type of small wallaby or bettong
atnwenhenke,atnwenhenke,2,vt.,bring someone,look after someone who is unable to look after the...
atnwentewene,Atnwentewene,NA,n.,NA,place near Barrow Creek
atnwenthe,atnwenthe,3,n.,NA,"any type of edible animal, bird or reptile"
atnwere,atnwere,NA,n.,animal droppings,animal droppings used to start a fire
atnwererrke,atnwererrke,2,n.,NA,heel of foot
atnwerrenke,atnwerrenke,NA,vt.,NA,cause trouble for someone
atnwerrete,atnwerrete,NA,n.,NA,"base of kangaroo, wallaby or euro's tail"
atnwerrke,atnwerrke,NA,n.,NA,green watery stuff from kangaroo's stomach; bile
atnwerrnge,atnwerrnge,2,n.,NA,"mash, mashed food"
atnyem-atnyeme,atnyem-atnyeme,NA,n.,NA,country with lots of witchetty bushes
atnyemarenge,Atnyemarenge,NA,n.,NA,soakage near Emu Bore on Taylor Creek
atnyemayte,atnyemayte,2,n.,NA,edible grub on witchetty bush. The name 'witchetty...
atnyeme,atnyeme,3,n.,NA,witchetty bush
atnyemilpare,atnyemilpare,NA,n.,south wind,cold south wind
atnyerakake,Atnyerakake,NA,n.,NA,soakage on Taylor Creek
atnyere,atnyere,NA,n.,NA,supplejack
atnywelp-atnywenke,atnywelp-atnywenke,2,vi.,go_down,"go down, go downwards"
atnyweng-atnywenge,atnyweng-atnywenge,NA,n.,NA,clothes
atnywenke,atnywenke,4,vi.,go in,"enter, go in"
atnywenyey-enenke,atnywenyey-enenke,NA,vi.,NA,pop inside quickly for a short time
atnywerr-antethenenke,atnywerr-antethenenke,NA,vi.,NA,"start, begin going to an institution or into a pla..."
atnywey-alpenke,atnywey-alpenke,NA,vi.,NA,return and go inside
atnywey-aytenke,atnywey-aytenke,NA,vi.,NA,"jump into something, quickly go in"
atwakeyakake,Atwakeyakake,NA,n.,NA,place north of Barrow Creek
atwakeye,atwakeye,2,n.,NA,wild orange
atwapatherre,atwapatherre,NA,n.,forked,forked stick or tree; something that branches in t...
atwarenke,atwarenke,2,vt.,NA,clean away the tracks of a deceased person. Relati...
atwate,atwate,2,n.,NA,hot water.
atwaty-atwatye,atwaty-atwatye,NA,n.,NA,series of gaps through hills
atwatyarrenke,atwatyarrenke,NA,vi.,get dizzy,become dizzy
atwatye,atwatye,NA,n.,NA,"crevice, gap, crack between rocks"
atwatyinenke,atwatyinenke,NA,vt.,NA,make a path or gap by chopping down trees
atwemengk-atwemengke,atwemengk-atwemengke,NA,n.,NA,"half-dark, twilight"
atwemengke,atwemengke,NA,n.,NA,"darkness, pitch black"
atwemp-atwempe,atwemp-atwempe,2,n.,NA,"brown, dirty"
