orthography,lx_entries,sn_max,ps_1,gl_1,de_1_50
-akake,-akake,8,n.end.,PROP,having (something); with (something or someone); h...
-akerre,-akerre,6,n.end.,VIC,"around (that area), in the vicinity of (that area)..."
-akerte,-akerte,NA,end.,PROP,"with, having"
-akeyene,-akeyene,NA,end.,again,"again, as well, too"
-akwele,-akwele,2,end.,sure,"of course, certainly; shows you are sure that what..."
-akwene,-akwene,NA,end.,QUOT,Goes on the end of words to show that you think th...
-akwerle,-akwerle,NA,n.end.,DEC,Goes on the end of pronouns to show that one of th...
-akweye,-akweye,NA,end.,uncer,"maybe, is it? Shows that you are not sure about th..."
-alantye,-alantye,NA,n.end.,state,"Goes on nominals that describe states, such as sle..."
-alkere,-alkere,NA,v.end.,SEQ,In sentences involving two actions it goes on the ...
-alyerre,"-alyerre |1, -alyerre |2",NA,n.end.,delicious,"delicious, favourite food. Goes on the end of word..."
-amerne,-amerne,4,n.end.,PL,"several, some, more than two. Goes on the end of n..."
-ampenye,-ampenye,2,n.end.,side,Goes on the end of direction words to mean on that...
-anenhe,-anenhe,NA,NA,NA,NA
-angene,-angene,5,n.end.,within,on that side or edge of something. Goes on nominal...
-angkarrenye,"-angkarrenye |1, -angkarrenye |2",NA,comp.,so_that,"so that he, she, or it (can do something). In sent..."
-angkelhayle+,-angkelhayle+,NA,v.end.,CAUS_QUICK,Goes on a few type I (transitive) verbs to show th...
-angkere,-angkere,4,n.end.,SUPER,with this quality or characteristic
-angketyarre,-angketyarre,NA,n.end.,much,Goes on the end of nominals to refer to a place or...
-angkwarre,-angkwarre,4,n.end.,PERL,"through, over, around, across, via"
-angkwere,-angkwere,NA,end.,resp,"Goes on third person pronouns (he, they, them etc...."
-angwen-angwene,-angwen-angwene,2,n.end.,DEC,respectful way of referring to someone who has pas...
-angwene,-angwene,2,n.end.,dear,respectful way of referring to someone who has pas...
-ankethene,-ankethene,NA,n.end.,kin_still,"Goes on the end of words for relations (mother, gr..."
-anthelke,-anthelke,NA,n.end.,symp,"When referring to people, Dreamings and places thi..."
-apakweye,-apakweye,NA,pr.end.,generation,Goes on the end of pronouns referring to more than...
-apantaye,-apantaye,NA,n.end.,est,Goes on the end of number words and some descripti...
-apapethe,-apapethe,NA,n.end.,I_believe,Goes on the end of possessive pronouns to show tha...
-apartentye,-apartentye,2,n.end.,imitation,"something which is an imitation of the real thing,..."
-apeke,-apeke,4,end.,maybe,"maybe, perhaps. Goes on the end of nominals and ve..."
-apenye,-apenye,7,end.,SEMB,like a thing; the same as something (in some way);...
-apertame,-apertame,8,end.,again,again
-aperte,-aperte,5,end.,only,"only this and nothing else, just that, exclusively..."
-arelhe,-arelhe,NA,n.end.,used_for,is used for (something); is for (something). Goes ...
-arenge,-arenge,5,n.end.,GEN,"belonging to, owned by. Equivalent to the possessi..."
-arenye,-arenye,5,n.end.,DEN,belonging (somewhere); usually found (there)
-arlenge,-arlenge,6,n.end.,COM,"with someone, in their company. Goes on nominals a..."
-arnenge,-arnenge,NA,n.end.,sibling,sibling or age-mate. Goes on the end of personal n...
-arre+,-arre+,6,n.end.,INCH,"become something, turn into something"
-arrelp-arrenke,-arrelp-arrenke,NA,vi.,INTR+do_once+INTR,suddenly become something or do something
-arrpanteye,-arrpanteye,3,n.end.,imitation,something which is an imitation of the real thing;...
-arrtyenke,-arrtyenke,NA,vt.,NA,Forms the second part of some verbs where the acti...
-artenge,-artenge,NA,n.end.,as_far_as,"until, as far as, not until. Goes on nominals afte..."
-artetye,-artetye,4,n.end.,TERM,as far as (somewhere); up to (somewhere). Goes on ...
-arteyarte,-arteyarte,NA,end.,best,the best (at doing something)
-arteyene,-arteyene,4,end.,already,already (did something). Shows that the person spo...
-artwemenye,-artwemenye,NA,n.,dec,Goes on the end of plural kin terms and pronouns t...
-artweye,-artweye,4,n.end.,owner,owning something. Goes on nominals after the <em>+...
-athathe,-athathe,5,n.end.,until,before (something gets to a state); until (somethi...
-atheke,-atheke,NA,n.end.,ward,in the general direction of; towards (a particular...
-athene,-athene,2,n.end.,mistaken,mistake something for something else.
-atherre,-atherre,6,n.end.,DU,two (of something)
-awarre,-awarre,2,n.end.,char,Goes on the end of some nominals to show that some...
-ayerre,-ayerre,NA,n.end.,RESP,Goes on the end of some words to show respect for ...
-ayethe,-ayethe,4,n.end.,means_of,in or using (a particular position or container). ...
-ayle+,-ayle+,4,end.,FACT,make something a certain way. Goes on nominals to ...
-aylenke,-aylenke,NA,NA,NA,make something a certain way
-aytenge,-aytenge,2,comp.,so_that,"so that, so (something else can happen). Goes on t..."
-aytenye,-aytenye,NA,n.end.,-ish,more (of a quality). Goes on the end of descriptiv...
-impentye,-impentye,NA,n.end.,covered,having lots of this. Goes on the end of some nomin...
-ine+,-ine+,5,end.,FACT,make something a certain way. Goes on nominals to ...
-inenge,-inenge,2,n.end.,COLL,"lots of, group of, many. Goes after the word for a..."
-iperre,"-iperre |1, -iperre |2",NA,n.end.,SEQ.STAT,"after being in that state, after a certain situati..."
-iperrenye,-iperrenye,NA,n.end.,kind_of,"some sort of, a kind of, not real; something that ..."
-itarre,-itarre,NA,n.end.,ADJ.INTS,Goes on a few descriptive words. It has no meaning...
-ketye,-ketye,11,n.end.,AVER,"because of (something bad or unwanted), on account..."
-kwange,-kwange,NA,end.,you_know,you know. Shows that you think the person you are ...
-marteye,-marteye,NA,n.end.,huge,very (big). Goes on the end of words that mean 'bi...
-mpange,-mpange,NA,n.,of_course,"of course, really. Gives emphasis, or stresses tha..."
-mpele,-mpele,6,end.,thus,"thus, like that, you see. Used to make a point, es..."
-ngenye,-ngenye,NA,n.end.,SUP,"the most, really, very. Goes on descriptive words ..."
-ngere,-ngere,NA,n.end.,times,"that many days, that many times. Goes on the end o..."
-ngetheye,-ngetheye,NA,NA,ABL,from. Goes on the end of short words.
-nhenge,-nhenge,NA,n.end.,DYAD,together. Goes on words that describe family relat...
-ntyere,-ntyere,NA,n.end.,TOP,Goes on the end of some tree names to mean a swamp...
-nyayne,-nyayne,2,n.end.,real,"true, really did happen"
-pange,-pange,3,end.,of_course,Way of asking a question when used with a rising t...
-penhe,-penhe,7,n.end.,SEQ,"after, from. Goes on nominals to mean after someth..."
-rarre,-rarre,3,comp.,whilst,"whilst, in the midst. Goes on words for things lik..."
-rlenye,-rlenye,NA,n.end.,area,Appears on some direction words and words for 'thi...
-rrewe,-rrewe,4,comp.,as_for,It was them who (did something). Goes on pronouns ...
-rtame,-rtame,2,end.,CNTR,A common ending that goes on the end of a word to ...
-rtetye,-rtetye,2,end.,contrary,the one that; the thing that. Shows that this is d...
-rteye,-rteye,6,end.,uncertain,Makes a question out of a statement.
-rwenge,"-rwenge |1, -rwenge |2",2,n.end.,times,Goes on number words to show the number of times s...
-tangkwe,-tangkwe,NA,NA,first,first time
-tangkwerle,-tangkwerle,7,part.,first,first time
-terape,-terape,NA,n.end.,perhaps,"might, perhaps, maybe. Only goes on kin terms and ..."
-theye,-theye,11,n.end.,ABL,"from, out of, away from"
-twene,-twene,NA,n.end.,not,"not something, isn't something, instead of somethi..."
-tyampe,-tyampe,4,n.end.,too,and
-wanenye,-wanenye,4,n.end.,NEG,"not, without. Goes on nominals to mean not having ..."
-warle,-warle,9,n.end.,ALL,"to, towards"
-wethewe,"-wethewe |1, -wethewe |2",3,n.end.,sore,Goes on body parts to show that this part is broke...
+ake,"+ake |1, +ake |2, +ake |3",NA,n.end.,DIR,"Goes on direction words such as 'north', 'south' t..."
+akeye,+akeye,NA,pr.end.,patri,Goes on the end of pronouns where there is more th...
+althe,+althe,NA,n.end.,CHAR,Goes on words for feelings and behaviour to descri...
+ame,+ame,2,end.,intens,Goes on the end of words to add emphasis to that w...
+ampe,+ampe,NA,n.end.,sweet,Part of some words which together refer to some so...
+ane,+ane,NA,end.,very,"really, very, too. Goes on the end of a word to ad..."
+ange,+ange,5,end.,INT,Goes on the end of the first word of a sentence to...
+angke,+angke,NA,pr.end.,SMSG,Goes on certain pronouns to show that the people a...
+ante,+ante,NA,NA,NA,"just, right, exact, only"
+anthe,+anthe,NA,pr.end.,OM,Part of some pronouns that shows that the people b...
+ape,+ape,NA,n.end.,EMPH,Goes on the end of words to add emphasis to what y...
+arle,"+arle |2, +arle |1",3,end.,DEF,Goes on the end of words to add emphasis
+arle-penhe,+arle-penhe,NA,comp.,REL-SEQ,Goes on the end of verbs to show that after this h...
+arle-watye,+arle-watye,NA,v.end.,since,"since, because. In sentences made up of two clause..."
+arre,+arre,6,comp.,REL,"that, who, which, what. In sentences made up of tw..."
+arre-penhe,+arre-penhe,NA,comp.,REL-SEQ,Goes on the end of verbs to show that after this h...
+arre+,+arre+,NA,v.end.,TR2,Appears in some type I (transitive) verbs; <strong...
+arte,+arte,4,n.end.,DEF,"Goes on question words, pronouns, numbers and word..."
+awe,"+awe |1, +awe |2",NA,end.,EXCL,Goes on the end of a word to add emphasis when you...
+aye,"+aye |1, +aye |2",3,end.,VOC,"Goes on the end of pronouns, names and other words..."
+ayte,+ayte,NA,n.end.,grub,Goes on the end of certain plant names to mean the...
+aytne+,+aytne+,NA,end.,sound,Forms part of some verbs whose meaning refers to a...
+ee,+ee,1,end.,EXT,Goes on the end of words to show that an action go...
+elpathe+,+elpathe+,NA,v.end.,do_once (?),Forms part of the meaning of some verbs. <strong>+...
+emarre+,+emarre+,NA,end.,NA,Goes on English words to make a Kaytetye intransit...
+emayle+,+emayle+,NA,n.end.,FACT,Goes on English words to make a Kaytetye transitiv...
+inge,+inge,2,end.,very,"really, very. Goes on the end of words to add emph..."
+l-alpe+,+l-alpe+,NA,v.end.,DO&RET,do and then go back. Goes on type I (transitive) v...
+l-arre+,+l-arre+,NA,v.end.,LIG1-PL,"do while going along, when there is more than one ..."
+l-atherre,+l-atherre,NA,n.end.,NA,"each other, one another. Goes on a reflexive prono..."
+l-ayte+,+l-ayte+,NA,v.end.,DO&GO,do and then go. Goes on type I (transitive) verbs ...
+le,"+le |1, +le |2, +le |3",14,n.end.,LOC,"in, at, on, by. Goes on the end of long words to s..."
+le-,"+le- |1, +le- |2",NA,n.end.,LOC,goes on the end of nominals before certain other n...
+le-...+l-arre+,+le-...+l-arre+,2,v.end.,DO_ALONG,do all the way along. Goes on type I (transitive) ...
+lenge,+lenge,NA,n.end.,LOC,"in, at, on, by. Goes after <em>tye+</em> 'here' an..."
+lengkwe,+lengkwe,NA,n.end.,CHAR,associated with; having. An ending found on some w...
+lh-...+lh-alperine+,+lh-...+lh-alperine+,NA,v.end.,CAUS:MOT,Goes on the end of some type II (intransitive) ver...
+lh-...+lhayle+,+lh-...+lhayle+,2,v.end.,CAUS:REP,Goes on the end of type II (intransitive) verb ste...
+lhayle+,+lhayle+,2,v.end.,CAUS,Goes on type II (intransitive) verbs to show that ...
+lhewe+,+lhewe+,NA,v.end.,CAUS,Goes on some type II (intransitive) verbs to show ...
+lke,+lke,2,end.,then,"then, now, next"
+lpe-,+lpe-,3,v.end.,DO_1X,Goes in the middle of a partially reduplicated ver...
+me,+me,5,v.end.,POT,"might, should or could happen"
+meketye,+meketye,3,v.end.,APPR,"in case, lest, before (something bad happens). Goe..."
+ne,+ne,2,v.end.,IMP,Goes on a verb stem to make it into an order; way ...
+ng-areye,+ng-areye,3,comp.,time,"while, during. Goes on the end of a word to show t..."
+nganyimpe,+nganyimpe,2,n.end.,small,"tiny, small, little, small amount"
+ngarte,+ngarte,NA,end.,very,"really, very. Gives emphasis to what you are sayin..."
+nge,"+nge |1, +nge |2, +nge |3, +nge |4",6,n.end.,LOC,"at, on, in, by. Goes on short words to show where ..."
+nge-,"+nge- |1, +nge- |2",NA,n.end.,LOC,Goes on short words before some nominal endings su...
+nge-...+ng-arre+,+nge-...+ng-arre+,NA,v.end.,LIG-RED-INCEP,"bit by bit, gradually. Goes on the end of verb ste..."
+nge-...+nge,+nge-...+nge,NA,v.end.,expert,Goes on the end of verb stems to show that someone...
+ngele,+ngele,NA,n.end.,SS,while (doing something); and (do something). In a ...
+ngele-...+ngel-arre+,+ngele-...+ngel-arre+,NA,v.end.,REP_FRUS,keep doing something without success. Goes on the ...
+ngele-...+ngele,+ngele-...+ngele,NA,v.end.,SS_REP,while constantly doing; while repeatedly doing. In...
+ngerne,+ngerne,NA,v.end.,HITH,(came) this way. Goes on verbs to show that the ac...
+ngewarle,+ngewarle,NA,v.end.,DS,Goes on a verb to show that the doer of this actio...
+nhe,+nhe,2,v.end.,PST,Shows that the action has already happened or that...
+nhengerne,+nhengerne,NA,NA,PST:HITH,irregular past tense ending of <em>apenkerne</em> ...
+nke,+nke,7,v.end.,PRS,Shows that the action is happening now (at the tim...
+nkelpe,+nkelpe,NA,n.end.,ADJ,Goes on the end of certain words to mean 'big.' It...
+npe,+npe,NA,n.end.,ADJ:STAT,Goes on the end of some nominals to show that some...
+ntyele,+ntyele,NA,v.end.,PROH,don't (do something). Goes on verbs to tell someon...
+ny-angkeletne+,+ny-angkeletne+,NA,v.end.,COME&DO&GO,Goes on the end of verbs to show that the person c...
+nye,"+nye |1, +nye |2",NA,v.end.,PST,Shows that the action has already happened or that...
+nyey-alpe+,+nyey-alpe+,NA,v.end.,RET&DO&GO,Goes on verb stems to show that the person or thin...
+nyey-aytne+,+nyey-aytne+,2,v.end.,DO&GO:REP,go and do something lots of times or for some time...
+nyey-ene+,+nyey-ene+,NA,v.end.,DOquick&RET,Goes on verb stems to show that the person doing t...
+paperte,+paperte,NA,NA,TOP-just,"just, only"
+pe,+pe,4,end.,TOP,"Goes on the end of words to show the main thing, o..."
+pe-,+pe-,NA,v.end.,GRAD,Goes after the first part of a few verbs whose ste...
+pentye,+pentye,NA,n.end.,place,place name ending. In most instances the first par...
+r-alpe+,+r-alpe+,NA,NA,LIG2-RET_SIM,NA
+r-antethene+,+r-antethene+,NA,NA,LIG2-INCIP,NA
+r-ape+,+r-ape+,NA,NA,LIG2-MOVE_SIM,NA
+r-aperine+,+r-aperine+,NA,NA,LIG2-MOVE_SIM,NA
+r-ayte+,+r-ayte+,NA,NA,LIG2-leave,NA
+rane,+rane,NA,NA,PRS:IPFV,NA
+rewe,+rewe,2,comp.,nonS_STAT,"while, as, at the same time; when. Goes on the end..."
+rl-alpe+,+rl-alpe+,NA,NA,LIG1-do&RET,'do and then go back' form of a verb
+rl-arre+,+rl-arre+,NA,NA,LIG1-PL,'do while going along' form of a verb
+rl-ayte+,+rl-ayte+,NA,NA,LIG1-do&leave,'do and then go' form of a verb
+rle,+rle,NA,end.,NA,NA
+rle-...+rl-arre+,+rle-...+rl-arre+,NA,NA,do_moving,'do all the way along' form of a verb
+rne,+rne,NA,v.end.,HITH,towards here; this way. Goes on the end of verbs t...
+rnenarre+,+rnenarre+,NA,v.end.,HITH_SIM,NA
+rnke,+rnke,NA,NA,PST,NA
+rr-...+rr-enye+,+rr-...+rr-enye+,2,v.end.,DO_ALONG,Goes on the end of type II (intransitive) verbs to...
+rr-alpe+,+rr-alpe+,NA,v.end.,RETURNING,Goes on the end of type II (intransitive) verbs to...
+rr-antethene+,+rr-antethene+,NA,v.end.,INCIP,Goes on the end of type II (intransitive) verb ste...
+rr-ape+,+rr-ape+,2,v.end.,MOVING,Goes on type II (intransitive) verbs to show that ...
+rr-aperine+,+rr-aperine+,NA,v.end.,SIM:MOVING,Goes on the end of type I (transitive) verbs to sh...
+rr-ayte+,+rr-ayte+,2,v.end.,DO&GO,Goes on type II (intransitive) verbs to show that ...
+rrane,+rrane,3,v.end.,PRS:IPFV,is doing something.
+rrantye,+rrantye,3,v.end.,PRS:IPFV,is doing something. Goes on type I (transitive) ve...
+rrwene+,+rrwene+,3,v.end.,QUICK,quickly (do something). Goes on verb stems before ...
+rtewe,+rtewe,3,n.end.,-less,Goes on the end of body-part words to show that th...
+thene+,+thene+,NA,v.end.,INCEP,start doing (an action). Goes on verb stems meanin...
+watye,+watye,NA,n.end.,ATT,"rather, somewhat. Goes on the end of descriptive w..."
+we,+we,12,n.end.,DAT,"for (something), to get (something). Shows the rea..."
+wene,+wene,6,v.end.,OBLG,"must, have to. Goes on the end of verbs to show th..."
+wenhe,+wenhe,7,n.end.,REFL,"oneself, one's own. Goes on the end of the singula..."
+weth-anenhe,+weth-anenhe,NA,v.end.,PST:POT,"nearly (did something); almost (happened), tried t..."
+weth-athathe,+weth-athathe,2,v.end.,PURP-until,before (something happens). In sentences with two ...
+wethe,+wethe,6,v.end.,PURP,so that something can happen; in order to (do some...
+wethe-ketye,+wethe-ketye,2,v.end.,before,before (something happens). In sentences with two ...
+wethew-arre+,+wethew-arre+,NA,n.end.,craving,have a feeling of wanting a particular food or wat...
+y-...+y-ene+,+y-...+y-ene+,NA,v.end.,DO_ALONG_QUICK,do something quickly lots of times. Goes on type I...
+y-alpe+,+y-alpe+,NA,v.end.,RET&DO,do something after returning. Goes on verb stems t...
+y-alperine+,+y-alperine+,NA,v.end.,BRING&DO,bring something back and do something. Goes on ver...
+y-ayte+,+y-ayte+,3,v.end.,ON_ARRIVAL,Goes on verb stems to show that the action happens...
+y-ene+,+y-ene+,2,v.end.,GO&DO,go and do. Goes on verb stems to show that the per...
+y-etnye+,+y-etnye+,NA,v.end.,COME&DO,Goes on verb stems to show that the person or thin...
+yane,+yane,3,v.end.,PRS:IPFV,is doing something. Goes on type II (intransitive)...
+yayne,+yayne,3,v.end.,PST:IPFV,used to (do something). Goes on verb stems to show...
+yaytey-alpe+,+yaytey-alpe+,NA,v.end.,RET&DO,go back and then do
+ye,"+ye |1, +ye |2, +ye |3",NA,n.end.,1SG,my (relation). Goes on the end of words for relati...
+ye-...+rrenye+,+ye-...+rrenye+,2,v.end.,DO_ALONG,"do all the way along, do all the time while going ..."
+yenge,+yenge,NA,pr.end.,GEN,"belonging to, owned by. Equivalent to 'mine', 'you..."
+yern-alpe+,+yern-alpe+,3,v.end.,DO_COMING,Goes on the end of a verb stem to show that the pe...
+yern-ayte+,+yern-ayte+,NA,v.end.,RISE&DO,Goes on type I (transitive) verbs to show that the...
+yerreye,+yerreye,3,v.end.,PST:IPFV,would (do something). Goes on the stem of type I (...
ahakeye,ahakeye,2,n.,native currant,"native currant, wild currant, bush plum"
ahalhwerrnge,ahalhwerrnge,2,n.,creek_soakage,soakage dug in a creek
ahalpere,Ahalpere,2,n.,NA,"Ahalper, New Store. Community on Utopia land trust..."
ahaltyerre,ahaltyerre,NA,n.,deep_spring,permanant spring water running from deep undergrou...
ahalyepwenge,ahalyepwenge,NA,n.,desert skink,desert skink
ahangeye,ahangeye,NA,kin.,grandpa,father's father; father's father's sister or broth...
ahanterre,ahanterre,3,kin.,father-in-law,father-in-law (man or woman's)
aharlaytnenke,aharlaytnenke,NA,vi.,call_out,"call out, sing out, yell out"
aharlelarrenke,aharlelarrenke,2,vt.,sing_out,sing out or make a noise to let someone know about...
aharlkwerre,aharlkwerre,2,n.,cavern,"deep cracks, caverns or holes in the ground"
aharlperre angkenke,aharlperre angkenke,NA,vi.,talk_loudly,talk loudly from a distance. Said about people who...
aharr-aharrele arenke,aharr-aharrele arenke,NA,n.,hallucinate,"see things that aren't there, hallucinate"
aharrenke,aharrenke,NA,vi.,get_angry,"get angry, lose your temper or want to fight someo..."
aharretye,aharretye,3,n.,hot,"hot, dry weather; middle of summer"
ahathe,Ahathe,NA,n.,NA,Bean Tree Range. A place south-east of Neutral Jun...
ahaylenge,ahaylenge,NA,n.,place_necronym,name used for a place whose name can't be said bec...
ahaylengkilere,ahaylengkilere,2,n.,burrowing_skink,burrowing skink
ahaytenke,ahaytenke,NA,vi.,get_angry,get angry
ahe,"ahe |1, ahe |2",4,n.,fight,"fight, quarrel, dispute, squabble, trouble"
ahenakake,ahenakake,NA,n.,clever,clever
ahenange,ahenange,NA,n.,NA,"might be good, is it alright?"
ahenangkere,ahenangkere,NA,n.,NA,"better (than something else), kinder or nicer (tha..."
ahenaperte,ahenaperte,3,n.,NA,"alright, okay"
ahenaytenye,ahenaytenye,NA,n.,NA,better (than something else)
ahene,ahene,7,n.,good,"good, proper, useful"
ahenelke,ahenelke,NA,n.,NA,"recovered, better than before"
ahenentye,ahenentye,2,adv.,properly,"(do something) properly, well, successfully"
ahenenye,ahenenye,NA,n.,woma_python,woma python
ahenep-ahenepe,ahenep-ahenepe,2,n.,good,things that are still good
ahenertetye,ahenertetye,NA,n.,NA,think that something or someone is alright
ahenewatye,ahenewatye,NA,n.,NA,better (than before)
ahenge,ahenge,NA,n.,fight,"fight, argument, dispute, conflict"
ahenty-ahentye,ahenty-ahentye,NA,n.,upper_back,upper back between the shoulder blades
ahentye,"ahentye |1, ahentye |2",6,n.,throat,throat
ahentyele akenke,ahentyele akenke,2,vt.,disappoint_so,be disappointed in someone because they let you do...
ahentyele arenke,ahentyele arenke,NA,vt.,be_thwarted_by,not able to do something that you wanted or tried ...
ahentyenpe,ahentyenpe,NA,n.,coveted,something that you don't have or can't get
ahentyepenhe,ahentyepenhe,NA,n.,lover,"lover, girlfriend, boyfriend"
ahentyewanenye,ahentyewanenye,NA,n.,dislike,"dislike, not want or feel like something"
ahepertewe,ahepertewe,NA,n.,summer,"summer, hot weather"
ahereknge,ahereknge,NA,n.,moist,"green, alive (of plant or stick); moist"
ahererre,ahererre,2,n.,right_path,"right way, correct direction"
ahernarreparre,ahernarreparre,2,adv.,squat,close to the ground
ahernatherrele,ahernatherrele,NA,n.,long_ago,"long time ago, from the beginning of time"
ahernaynewene,ahernaynewene,NA,n.,woma_python,"woma python, little carpet snake, sand python"
aherne,aherne,4,n.,ground,"ground, earth, dirt, soil, dust"
ahernelapenye,ahernelapenye,2,n.,NA,short
ahernele-rarre,ahernele-rarre,NA,n.,NA,"amongst the dust, amidst the dust"
aherr-aherrarrenke,aherr-aherrarrenke,NA,vi.,NA,try to remember something
aherr-aherre,aherr-aherre,NA,n.,NA,type of vine-like grass. Possibly <em>Goodeniaceae...
aherrarlwethe,aherrarlwethe,NA,n.,NA,"headache vine, kangaroo balls vine"
aherraty-atnywerte,aherraty-atnywerte,NA,n.,NA,type of mouse or rat; possibly fat-tailed marsupia...
aherre,aherre,NA,n.,kangaroo,red kangaroo
aherrentyenke,aherrentyenke,2,vi.,paining,"be hurt, sore or in pain; sting, ache"
aherretangke,aherretangke,NA,n.,NA,kangaroo tail fat
aherrile,aherrile,2,n.,NA,"frost, ice, snow"
aherrk-aherrke,aherrk-aherrke,NA,n.,NA,Bagot's ant
aherrk-aherrkele,aherrk-aherrkele,NA,n.,NA,"at sunrise, at daybreak"
aherrk-akwewene,aherrk-akwewene,NA,n.,NA,type of honeyeater
aherrk-arler-arlere,aherrk-arler-arlere,NA,n.,NA,"red-browed pardalote, striated pardalote"
aherrke,"aherrke, Aherrke",3,n.,NA,"sun, sunshine"
aherrke arenge,Aherrke arenge,NA,n.,NA,place in creek near Watt Range
aherrkertewe,aherrkertewe,NA,n.,daytime,"daytime, day"
aherrkewarelhe,aherrkewarelhe,NA,n.,NA,something that comes out in daytime; diurnal
aherrn-aherrne,aherrn-aherrne,NA,n.,NA,white fluffy clouds
aherrne,Aherrne,NA,n.,NA,soakage north of Sugarbag Bore in Crawford Range a...
ahertetye,ahertetye,NA,pv.,NA,Goes before some verbs to show that something movi...
ahetnyenke,ahetnyenke,NA,vt.,NA,"make someone angry, get someone worked up by being..."
ahewinenke,ahewinenke,NA,vt.,NA,"make someone angry, get someone worked up by being..."
ahimpentye,ahimpentye,NA,n.,NA,"troublemaker, someone who fights all the time"
ahimperre,ahimperre,NA,n.,NA,track made from walking
akakarrel-aytenke,akakarrel-aytenke,NA,NA,NA,leave someone behind
akakarrenke,akakarrenke,3,vt.,NA,leave someone out
akakewenke,akakewenke,2,vt.,knock_in,"make something tight by pushing, stuffing or knock..."
akalangkw-alangkwe,akalangkw-alangkwe,NA,n.,NA,"matted hair, dreadlocks, bushy hair"
akalpalpe,"akalpalpe |1, akalpalpe |2, akalpalpe |3",NA,n.,NA,"edge, tip, bud, ends"
akalperre,Akalperre,NA,n.,NA,place south-west of Barrow Creek
akalperrty-alperrtye,akalperrty-alperrtye,NA,n.,NA,"messy hair, hair sticking out all over the place"
akampampe,akampampe,2,n.,NA,"top of the head, crown of the head."
akampe,akampe,2,n.,nectar,"types of lumpy, runny nectar on certain plants."
akamperrnge,akamperrnge,2,n.,NA,top of emu or person's head.
akangkwarre,akangkwarre,NA,n.,NA,"upwind, the head end"
akanpere,akanpere,NA,adv.,straight_through,"straight past, straight through, straight away"
akantharlkwe,akantharlkwe,NA,n.,fluffy,fluffy head of hair
akapelp-apenke,akapelp-apenke,NA,vt.,NA,turn the wrong way and get lost
akapenke,akapenke,NA,vi.,NA,"get lost, lose your way, go bush"
akapey-enenke,akapey-enenke,NA,vi.,NA,travel to another place and get lost on the way
akarletye,akarletye,NA,n.,NA,northern wild orange
akarlpanke,akarlpanke,NA,n.,NA,bald
akarltere,akarltere,NA,n.,NA,"white hair, grey hair"
akarnnge,akarnnge,NA,n.,NA,skull
akarnte,akarnte,3,n.,NA,hard dirt
akarntety-arntetye,akarntety-arntetye,4,n.,NA,various types of geckos including
akarntetyarrenke,akarntetyarrenke,NA,vi.,NA,get a headache
akarntewenke,akarntewenke,NA,vt.,NA,"make a crack in the ground. Yams, tree roots and w..."
akarre,akarre,2,n.,NA,sweet drink made from certain dried fruits mixed w...
akarrtyenke,akarrtyenke,5,vt.,NA,care for someone who is sick; nurse someone
akartne,Akartne,NA,n.,NA,place south-west of Barrow Creek near Anningie.
akathenke,akathenke,NA,vt.,NA,look for someone or something but not find them
akatnperre,akatnperre,NA,n.,NA,"bud, unopened flower"
akatnywenke,akatnywenke,NA,vi.,NA,"go inside, vanish (plural)"
akayele akenke,akayele akenke,NA,vi.,mourning wail,"cry in mourning, wail"
akaylep-aylepe,akaylep-aylepe,NA,n.,NA,dreadlocks; matted hair
ake,ake,3,n.,NA,head
akeley-akeleye,akeley-akeleye,NA,n.,NA,"life-saver burr, teddy bear's arsehole"
akeleye,akeleye,5,kin.,NA,father's sister
akelperr-elperre,akelperr-elperre,NA,n.,NA,big head
akemanenke,akemanenke,2,vi.,NA,sitting down alone
akemarrenke,akemarrenke,NA,vt.,NA,sit someone up
akenganyimpe,akenganyimpe,NA,n.,NA,small head
akenke,akenke,2,vi.,NA,"cry, wail, moan"
akepe,akepe,2,pv.,NA,poor thing. Goes before some verbs to show that yo...
akepelkantye,Akepelkantye,NA,n.,NA,Old Bluebush Swamp. Place near Home of Bullion.
akerlit-akerlite,akerlit-akerlite,NA,adv.,NA,"quietly, silently"
akerlite,akerlite,NA,n.,NA,"quiet, silent"
akerlkenke,akerlkenke,2,vi.,NA,"blossom, bloom, (bud) open up"
akerlpayte,akerlpayte,2,n.,NA,large edible white grub that lives in the roots of...
akerlperre kwathenke,akerlperre kwathenke,NA,vt.,NA,drink non-stop
akerreteke,akerreteke,NA,n.,NA,"hard, flat ground"
akerrinewene,Akerrinewene,NA,n.,NA,"place west of the Stuart Highway, near Stirling Sw..."
akerrkarenge,Akerrkarenge,NA,n.,NA,low mountain range on the eastern side of Kwerrkep...
akerrke,akerrke,NA,n.,NA,western bower bird
akerrnge,akerrnge,NA,n.,young_tobacco_plant,young tobacco plant <em>tyanywenge</em> that isn't...
akerrthe,akerrthe,3,n.,flat_termite_bed,flat termite bed on the ground
akerte,akerte,4,n.,tip,"tip, edge, peak, end, part (of something)"
akertemwengke,akertemwengke,4,n.,NA,"shut up, closed, locked in"
akertere,akertere,2,n.,can't_talk,"quiet, silent"
akertety-akertetye,akertety-akertetye,NA,adv.,NA,"Goes before verbs of motion, such as 'walk' and 'c..."
akertetye,akertetye,NA,pv.,NA,Goes before words like 'come' and 'go' to show tha...
akertewe,akertewe,2,n.,NA,short hair
akertewenke,akertewenke,NA,vt.,leave_unfinished,"leave something unfinished; half-do something, suc..."
